Variable name;Definition of the variable;Units of measurement;Data Source;Coding;Value ranges;Missing data coding;Source of missing values
festival.war;variable that indicates, if a festival has specialisation on war films;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.crime;variable that indicates, if a festival has specialisation on crime genre films;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.comedy;variable that indicates, if a festival has specialisation on comedies;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.action;variable that indicates, if a festival has specialisation on action films;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.food.wine;variable that indicates, if a festival has specialisation on films with a culinary focus;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.animation;variable that indicates, if a festival has specialisation on animation;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.archival;variable that indicates, if a festival has specialisation on archival film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.documentary;variable that indicates, if a festival has specialisation on documentary;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.experimental;variable that indicates, if a festival has specialisation on experimental film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.silent;variable that indicates, if a festival has specialisation on silent film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.children.youth;variable that indicates, if a festival has specialisation on films curated for children and youth ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.up.and.coming;variable that indicates, if a festival has specialisation on films by emerging talent ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.debut;variable that indicates, if a festival has specialisation on debut film ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.short.film;variable that indicates, if a festival has specialisation on short films;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.screenplay;variable that indicates, if a festival has specialisation featuring screenplays ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.video;variable that indicates, if a festival has specialisation on video format;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.disability;variable that indicates, if a festival has specialisation on disability ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.human.rights;variable that indicates, if a festival has specialisation on human rights;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.indigenous;variable that indicates, if a festival has specialisation on showing films about indigenous identities/communities and/or with a focus on indigenous filmmakers;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.education.genre;variable that indicates, if a festival has specialisation on education;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.mental.health;variable that indicates, if a festival has specialisation on mental health;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.student;variable that indicates, if a festival has specialisation on emerging student filmmakers or is organized by students;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.diaspora;variable that indicates, if a festival has specialisation on diasporic film and filmmakers ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.transnational;variable that indicates, if a festival has specialisation on showing films from a specific national or regional context in a country or region different from the production countries ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.national;variable that indicates, if a festival has specialisation on exclusively showing film from a certain national context and relevant to that national film industry ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.region;variable that indicates, if a festival has specialisation on showing films from a specific geographic or political region or films in the same language that are based in and relevant to that same region. ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.online;variable that indicates, if a festival takes place online (before Covid-19);festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.tv;variable that indicates, if a festival has specialisation on tv productions;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.series;variable that indicates, if a festival has specialisation on series;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.random.fun.themes;variable that indicates, if a festival that has a specific specialisation not fitting other genre or thematic categories;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.porn.erotic;variable that indicates, if a festival has specialisation on porn and erotic film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.ethnographic.anthropological;variable that indicates, if a festival has specialisation on ethnographic and anthropological film;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.environmental.nature;variable that indicates, if a festival has specialisation on the environment and nature ;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
festival.fantasy.horror.thriller.scifi;variable that indicates, if a festival has specialisation on fantasy / horror/ thriller / scifi genre films;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
website;website of the festival, if identified;festivals;identified with the help of the web search within 2019-2022;text data;text data;NA - no data available;no information on wesite is available
festival.random.fun.themes.cat;variable that indicate in more detail what the theme is if a festival has a specific specialisation not fitting other genre or thematic categories;festivals;variable that indicates, if a festival has a specified specialisation;1 - festival has the specified (in definition of the variable) focus, 0 - festival has no such focus;0-1;no missing data;no missing data
specialisation;Variable that indicates, if a festival has any spesific specialisation (e.g., themes or genre);festivals;variable that indicates, if a festival has any spesific specialisation (e.g., themes or genre);1 - festival has specialisation, 0 - festival has no specialisation;0-1;no missing data;no missing data
source;variable indicates, if a festival was identified only in the survey data;festivals;variable indicates, if a festival was identified only in the survey data;1 - festival was identified only in the survey data, 0 - festival was present in both survey and IMDb or only in IMDb;0-1;no missing data;no missing data
